title,sku,quantity,price,retail_price,description,width,depth,height,tags,images
Vintage Maison Jansen Side Table,21399,1,1295.0,2450.0,"The Vintage Maison Jansen Side Table embodies elegance and timeless design, featuring a sleek, tripod base with bamboo-style legs and a round mirrored top that reflects the brand’s iconic French craftsmanship. Maison Jansen, a renowned interior design firm from the 19th century, is known for blending traditional techniques with contemporary flair. The table’s brass-finished structure brings a warm, antique glow, while its minimalist design makes it versatile enough to complement both classic and modern interiors. Perfect as an accent piece or functional art, it adds a subtle yet refined touch to any room.FREE SHIPPING to Anywhere in the US 48 States",16.8,16.8,23.4,"vintage, maison, jansen, side-table, table","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/193d3409-765b-40db-a621-642ce0202821/Vintage+Maison+Jansen+Side+Table.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/0d8402da-913d-4fa4-a5b6-bf2ce5aeb5b7/Vintage+Maison+Jansen+Side+Table+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/91da4778-f032-4bd5-8c34-79c7e627cf9e/Vintage+Maison+Jansen+Side+Table+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/de11e565-86d0-4915-a1a2-b6696085fb9b/Vintage+Maison+Jansen+Side+Table+3.jpg"
Vintage MCM Paco Valle Abstract Wire Guitar Player Art Sculpture,21400,1,150.0,350.0,"This vintage mid-century modern sculpture by Paco Valle captures the essence of music and movement through abstract wirework. Featuring a guitar player crafted with minimalist lines, the piece embodies both artistic creativity and craftsmanship. Its unique design adds a playful yet refined touch, making it an ideal accent for eclectic or modern spaces. A true statement piece for art and music lovers alike.FREE SHIPPING to Anywhere in the US 48 States",17,13.5,18.5,"vintage, mcm, paco, valle, abstract, wire-guitar-player, art, sculpture","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/2799c10e-d642-4678-b2dc-7c40ace17c11/Vintage+MCM+Paco+Valle+Abstract+Wire+Guitar+Player+Art+Sculpture.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/4b9072b1-62f5-4891-afd4-fdd17ec16db7/Vintage+MCM+Paco+Valle+Abstract+Wire+Guitar+Player+Art+Sculpture+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/3eb4ad93-43cb-4b0b-8132-9a79eae818e7/Vintage+MCM+Paco+Valle+Abstract+Wire+Guitar+Player+Art+Sculpture+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/0be6ba43-535b-4584-a2d2-491ab758f013/Vintage+MCM+Paco+Valle+Abstract+Wire+Guitar+Player+Art+Sculpture+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/3a1264b4-fe22-424e-8150-6a807a7eb8cf/Vintage+MCM+Paco+Valle+Abstract+Wire+Guitar+Player+Art+Sculpture+3.jpg"
Set of 8 Antique Shaker Ladder Back Dining Chairs,21419,1,3595.0,6400.0,"This set of 8 antique Shaker ladder back dining chairs exemplifies timeless simplicity and craftsmanship. Featuring hand-carved wooden frames with traditional ladder-style backs, these chairs reflect the Shaker philosophy of function and beauty. The woven rush seats add texture and comfort, making them ideal for both casual and formal dining spaces. Perfect for those who appreciate understated elegance and historical design.FREE SHIPPING to Anywhere in the US 48 States",23.25,20.5,40.8,"antique, shaker, ladder-back, dining-chair","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/0f4a8285-0493-47aa-9801-ce88569712e0/Set+of+8+Antique+Shaker+Ladder+Back+Dining+Chairs.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/431ecd92-e6d7-435f-95a9-1dcf4ded59de/Set+of+8+Antique+Shaker+Ladder+Back+Dining+Chairs+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/96b791fc-1c99-4c19-8816-15a786fc9e48/Set+of+8+Antique+Shaker+Ladder+Back+Dining+Chairs+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/4f5bbcd0-7ab2-4197-b79b-fa0f2c7f0bd7/Set+of+8+Antique+Shaker+Ladder+Back+Dining+Chairs+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/fe1bf8a5-6305-4626-a85f-d500959efb09/Set+of+8+Antique+Shaker+Ladder+Back+Dining+Chairs+5.jpg"
"Vintage Mid-Century French Giltwood, Antiqued Beveled Glass Octagonal Overlay Wall Mirror and Hanging Console",21369,1,1995.0,3295.0,"This vintage mid-century French set features a hexagonal wall mirror with an antiqued beveled glass overlay, framed in elegant giltwood. Paired with a matching hanging console, the combination creates a sophisticated focal point for any entryway or living space. The intricate detailing and timeless design reflect French craftsmanship, making it a perfect addition to both classic and modern interiors.FREE SHIPPING to Anywhere in the US 48 States",36,1,48,"vintage, mid-century, french, giltwood, antique, glass, wall-mirror, hanging-console, mirror, table, decor","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/8bb24a79-f888-4bf9-be89-25c648808a31/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console+A.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/ee79ea72-59d4-4738-9670-cf1c7a39543e/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/b136c462-6b59-48c3-9f13-25a36788c078/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/8f6fb876-9789-42f1-bd9a-0e4b09e62e5b/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/baef5f17-1be0-4012-9fdf-7fe112b6e2d1/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console+A+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/974720cc-bac0-4885-b859-505d2fc80f38/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console+A+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/253d3af1-0acf-4262-9192-09d5431bb4bb/Vintage+Mid-Century+French+Giltwood%2C+Antiqued+Beveled+Glass+Octagonal+Overlay+Wall+Mirror+and+Hanging+Console+A+4.jpg"
John Boone Solid Mahogany Daybed,21351,1,2395.0,6680.0,"The John Boone Solid Mahogany Daybed is a luxurious piece crafted with timeless design in mind. Made from rich, solid mahogany, this daybed showcases clean lines and a sturdy build, making it both elegant and durable. Its tufted upholstery features a subtle geometric pattern that adds a touch of sophistication, while the wood's deep, polished finish gives it a modern yet classic appeal. Perfect for adding both comfort and style to any living space, this daybed embodies a seamless blend of traditional craftsmanship and contemporary design.FREE SHIPPING to Anywhere in the US 48 States",81.5,44,32.3,"john-boone, solid-mahogany, mahogany, daybed, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/561489c3-fb2a-4a54-ba8a-a19202d59f5c/John+Boone+Solid+Mahogany+Daybed+6+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/775264e8-b44d-437d-8378-7281a55b78a1/John+Boone+Solid+Mahogany+Daybed+2+%282%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/06f31df7-b568-4963-8333-37821b7b0d34/John+Boone+Solid+Mahogany+Daybed+4+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/b9f7d3e6-62bd-4e93-9d62-5fa3b3142ea9/John+Boone+Solid+Mahogany+Daybed+7+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/815cc421-c8b4-4bea-8f74-0c9e8073990c/John+Boone+Solid+Mahogany+Daybed+5+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/14cac22c-4c09-428f-88a2-2924bcaa3de4/John+Boone+Solid+Mahogany+Daybed+8+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/bbfd4135-9613-48a8-993b-51f3b2f48d83/John+Boone+Solid+Mahogany+Daybed+3+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/7e071895-a925-43f3-aeee-a1c33d8e5f29/white-John+Boone+Solid+Mahogany+Daybed+tag+%281%29.JPG"
"Vintage Louis Icart Werther, Full Round Bronze Sculpture Signed, 1986",21398,1,1895.0,3295.0,"The Vintage Louis Icart Werther Full Round Bronze Sculpture, created in 1986, is a rare and collectible piece inspired by Icart's 1928 etching titledWerther. Only 350 pieces of this stunning bronze were made, making it highly sought after by art collectors. The sculpture features an elegant female figure draped in flowing robes, highlighting the romantic and graceful style typical of Icart’s Art Deco influences. The craftsmanship and intricate detailing, combined with a beautiful patina finish, make it a timeless work of art.FREE SHIPPING to Anywhere in the US 48 States",12.75,7,15.5,"vintage, louis-icart-werther, full-round, bronze, sculpture, decor, art, c1986","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/a19cd44a-f4c6-44ce-83fe-756ca20c51cd/Vintage+Louis+Icart+Werther%2C+Full+Round+Bronze+Sculpture+C1986+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1e31ecf4-aebd-4a9f-b370-3716e3ddc3b0/Vintage+Louis+Icart+Werther%2C+Full+Round+Bronze+Sculpture+C1986+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/af37dcc1-0f3e-4c88-add7-0dac58bc0983/Vintage+Louis+Icart+Werther%2C+Full+Round+Bronze+Sculpture+C1986.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/87938203-ace2-4ac2-bad2-c7886bdd7620/white-IMG_9365.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/9a737db4-d97e-4743-bb66-4181540ddac2/Vintage+Louis+Icart+Werther%2C+Full+Round+Bronze+Sculpture+C1986+3+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/9398daa6-dd7e-4318-8c33-dbf180027196/white-IMG_9371.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/888a1107-c9ea-4f1b-8639-f45311bf556b/Vintage+Louis+Icart+Werther%2C+Full+Round+Bronze+Sculpture+C1986+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/d11b3db5-aa08-455a-b828-bf110a72fc06/white-IMG_9375.JPG"
Crate & Barrel Cameron Bronze Adjustable Floor Lamp,21392,1,195.0,350.0,"The Crate & Barrel Cameron Bronze Adjustable Floor Lamp combines sleek functionality with minimalist elegance, perfect for modern living spaces. Crafted from sturdy steel, its adjustable height mechanism allows for easy customization, providing both focused and ambient lighting. The simple yet sophisticated design features a clean drum shade, offering soft, diffused light, making it an ideal addition to any room, whether by a reading chair or in a cozy corner. With its durable construction and timeless style, this floor lamp enhances both contemporary and classic interiors effortlessly.FREE SHIPPING to Anywhere in the US 48 States",18,,,"crate-barrel, cameron, bronze, adjustable, floor-lamp, lighting","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/17c27de8-90f2-4db3-9f8f-6cd67ec4bcf6/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+3+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/192b2518-16eb-4f8d-b0b7-a648122aa83d/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/d5e97501-a7f7-4884-8447-ba1ae76d656c/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/94318ffd-d7c0-4a40-82ec-1f0897dc18f7/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/33de4c1b-dbdc-48ad-a637-c0a093500f84/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/8f43f536-ad38-40b4-bad1-524b53effce3/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/945fc834-0154-46d2-93b8-f32ff9a0a1d3/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/36d025c6-3791-4e91-9b59-fb2e036ac6c2/Crate+%26+Barrel+Cameron+Bronze+Adjustable+Floor+Lamp+4.jpg"
Vanguard Furniture Dana Dylan Queen Bed Frame,21379,1,2095.0,5030.0,"The Vanguard Furniture Dana Dylan Queen Bed Frame is a sophisticated piece designed for timeless appeal. Upholstered in a warm caramel leather, it features a sleek, clean-lined headboard accented with delicate nailhead trim for a refined touch. The sturdy frame is supported by tapered wooden legs and is built for durability. This bed seamlessly blends contemporary elegance with classic design, making it a statement piece in any bedroom setting.FREE SHIPPING to Anywhere in the US 48 States",66,88.5,66.3,"vanguard-furniture, dana, dylan, queen, bed-frame, bed","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/15d800a5-1e72-4ca0-8da0-4a3cd4cba94e/Vanguard+Furniture+Dana+Dylan+Queen+Bedframe.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/7b3ff2b1-aacd-4e23-aa96-5b8f1ce3c377/Vanguard+Furniture+Dana+Dylan+Queen+Bedframe+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/cc5f899e-e210-4d19-a4ec-2d32e9b2b2d3/Vanguard+Furniture+Dana+Dylan+Queen+Bedframe+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/07661145-6986-48ed-bb16-be9e0e051624/Vanguard+Furniture+Dana+Dylan+Queen+Bedframe+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/aabc0257-12d5-4359-9647-2dd885d1fd62/Vanguard+Furniture+Dana+Dylan+Queen+Bedframe+tag.JPG"
Niedermaier Fulton Round Dining Table w/ Leaves,21382,1,3895.0,7600.0,"The Niedermaier Fulton Round Dining Table with leaves offers both versatility and modern elegance for your dining space. Expertly crafted, this round table expands with the addition of leaves, making it ideal for both intimate gatherings and larger dinners. The sleek design and high-quality materials reflect Niedermaier's commitment to contemporary style and durability. Its smooth finish and minimalist aesthetic make it a perfect centerpiece for any modern or transitional home. A functional yet refined addition to elevate your dining experience.FREE SHIPPING to Anywhere in the US 48 States",,,,"niedermaier, fulton, round, dining-table, dining, table, table-with-leaves","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/8721b08b-a883-47ad-8e0a-fbbeaedc6bc0/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/612b252e-6749-425b-987e-9d783822cd3e/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/30dbb7bc-c7e1-4da9-8d1b-271a2fff8402/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/933132b1-a229-4953-8d25-b05c547181c5/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/4811a514-9c0d-4282-8ea1-ad0b3f84ea23/Niedermaier+Fulton+Round+Dining+Table+w+Leaves.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/2d992024-bb59-4ce4-9e5c-908ce779476b/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/0d2a414d-8c45-49c7-86ee-19f6b11f01ee/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+9.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/735a4972-ee1b-4677-882e-1f18b0ac3c80/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/57ae57d6-71d9-42b2-bf2d-3729f358e954/Niedermaier+Fulton+Round+Dining+Table+w+Leaves+4.jpg"
Leather Ottoman or Side Table,21389,1,295.0,450.0,"This versatile leather ottoman doubles as a stylish side table, adding both function and elegance to any room. Upholstered in smooth cream-colored leather, it features a compact cube design, making it ideal for small spaces. The cushioned top provides a comfortable seating option, while its sturdy base offers durability and stability. Whether used as a footrest, extra seating, or a side table, this piece blends seamlessly with modern or classic interiors, offering both practicality and understated sophistication.FREE SHIPPING to Anywhere in the US 48 States",17.7,17.7,17.5,"leather, ottoman, side-table, table, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/670922fd-a3e0-4b88-8ca0-fd2b5aa4e504/Leather+Ottoman+or+Side+Table.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/e3400221-ad46-4215-a1e2-4f0e5edd8eb0/Leather+Ottoman+or+Side+Table+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/bbd66f65-c49c-4385-9f08-a0b69c7d59f9/Leather+Ottoman+or+Side+Table+3.jpg"
"Cassina iMaestri Collection Le Corbusier Trois Places Sofa by Pierre Jeanneret, Charlotte Perriand",21342,1,5095.0,11370.0,"A timeless style that has written its own chapter in design history,becoming an icon of global fame. Designed for ease of conversation,the armchair was exhibited at the Salon d’Automne [Autumn Salon] inParis in 1929 as the archetype of the modern concept of furnishings,interpreted by its authors as “household equipment”. The separationbetween the metal structure and the cushions is consistent with theprinciples of Rationalism, just as the separation between the parts isbased on an industrial approach to production, reminiscent of thearchitectural relationship between the load bearing structure and thein-fill elements.These models are also available in an eco-friendly version that staystrue to the original design. Thanks to the study conducted by CassinaLAB, a partnership between the Cassina Research and Development Centerand thePoli.designconsortium of the Politecnico University in Milan,the foam-fill parts, the padding in the cushions and the tubularstructure are produced with sustainable materials and processes.Designed for ease of conversation, the armchair was exhibited in 1929at the Salon d’Automne in Paris as the archetype of the modern conceptin furnishings, interpreted by its authors as “household equipment”.FREE SHIPPING to Anywhere in the US 48 States",,,,"cassina, imaestri-collection, le-corbusier-trois-places-sofa, pierre-jeanneret, charlotte-perriand, sofa, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/0dc1c09e-e2c8-4c12-9c15-c4c181266d7b/Cassina+iMaestri+Collection+Le+Corbusier+Trois+Places+Sofa+by+Pierre+Jeanneret%2C+Charlotte+Perriand+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/bab56034-7c36-41be-bd14-6b7e1428a138/Cassina+iMaestri+Collection+Le+Corbusier+Trois+Places+Sofa+by+Pierre+Jeanneret%2C+Charlotte+Perriand_2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/0bf3bc62-7d05-4ed6-a0d9-09ca53b7daa7/Cassina+iMaestri+Collection+Le+Corbusier+Trois+Places+Sofa+by+Pierre+Jeanneret%2C+Charlotte+Perriand_3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/35a59748-df90-44c7-a4df-10980dd1c924/Cassina+iMaestri+Collection+Le+Corbusier+Trois+Places+Sofa+by+Pierre+Jeanneret%2C+Charlotte+Perriand_6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/7794dcb5-f23a-4ce2-bdc6-55379b4b445e/Cassina+iMaestri+Collection+Le+Corbusier+Trois+Places+Sofa+by+Pierre+Jeanneret%2C+Charlotte+Perriand_4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/26b6383c-065b-4ae9-a6e2-6d54d9d71980/Cassina+iMaestri+Collection+Le+Corbusier+Trois+Places+Sofa+by+Pierre+Jeanneret%2C+Charlotte+Perriand_5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/a54b9907-d112-4e5f-a74a-5b133b486aa9/IMG_0446.jpg"
Jean-Pierre Weill Moonlight Dance 3D Glass Vitreograph Shadow Box Art Painting with COA,21406,1,500.0,1275.0,"The ""Jean-Pierre Weill Moonlight Dance"" is a captivating 3D glass vitreograph shadow box art piece, offering a unique visual depth that brings the scene to life. Featuring a romantic dance under the moonlit sky, this artwork is crafted with meticulous attention to detail and framed elegantly in a gold frame. Its multi-layered glass technique creates a dynamic and enchanting viewing experience from every angle. Complete with a Certificate of Authenticity (COA), this piece is a timeless addition to any art collection, showcasing Weill's signature artistic style.FREE SHIPPING to Anywhere in the US 48 States",12.8,3.5,15,"jean-pierre-weill, moonlight-dance, 3d-glass, vitreograph, shadow-box, art-painting, coa, art","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/41a9efec-3081-4388-a15b-65a752007b91/Jean-Pierre+Weill+Moonlight+Dance+3D+Glass+Vitreograph+Shadow+Box+Art+Painting+with+COA.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/3d3e4ca6-7ed7-475f-9a33-dbbe155c3e95/Jean-Pierre+Weill+Moonlight+Dance+3D+Glass+Vitreograph+Shadow+Box+Art+Painting+with+COA+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/dda31f7b-bfd8-45bb-a604-38854a7ad460/Jean-Pierre+Weill+Moonlight+Dance+3D+Glass+Vitreograph+Shadow+Box+Art+Painting+with+COA+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/94d2a9c9-e8e2-47bd-8bbc-4dbe44eeba80/IMG_9237.JPG"
Pair of Modern Bucket Leather Swivel Chairs,21390,1,795.0,1399.0,"This pair of modern bucket leather chairs offers a blend of comfort and style, perfect for any contemporary living space. The chairs feature smooth, cream-colored leather upholstery that wraps around a rounded backrest, providing both elegance and support. Built on sturdy wooden legs, these chairs offer a sleek and functional design. Their compact shape makes them ideal for small spaces, while the cushioned seats ensure long-lasting comfort. A sophisticated addition to any home, these chairs embody modern simplicity and luxurious comfort.FREE SHIPPING to Anywhere in the US 48 States",29,25,31.2,"modern, bucket, leather, swivel-chair, accent-chair, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/d88a08f3-f4bf-4cf4-b406-1987dd9e51ff/Pair+of+Moder+Bucket+Leather+Swivel+Chairs.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/00898ef8-b34c-48ac-9ce3-a9b3f2998eaf/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c943c655-ee90-414f-8108-dffa7922ea76/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/a58815e0-cb9a-4bd7-b06c-aa34de3ab100/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/e0468a5c-2fbc-49fb-8a5b-a11ce09ed383/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/caebe4db-5b87-4ac1-af34-62c55a30974d/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1f2a0a14-4706-43c7-94bd-cdd20119360b/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c5f176c4-077a-46e3-8dc4-77e0a586b0a9/Pair+of+Moder+Bucket+Leather+Swivel+Chairs+8.jpg"
Modern Mirrored Side Table with Tray Top,21404,1,395.0,700.0,"The Modern Mirrored Side Table with Tray Top is an elegant and functional addition to contemporary spaces. Featuring a sleek mirrored finish, this side table adds a touch of sophistication and light reflection, perfect for enhancing the ambiance of any room. The tray top design adds a practical element, making it ideal for serving or displaying decor. Its clean, geometric lines and reflective surfaces offer a stylish blend of form and function, making it a versatile piece for modern interiors.FREE SHIPPING to Anywhere in the US 48 States",18.3,21.5,22,"modern, mirrored, side-table, tray, contemporary, table","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/91c75763-5424-4d3e-8a25-82b655dd7e09/Modern+Mirrored+Side+Table+with+Tray+Top.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/7c357582-7f25-43de-b8fb-eaa8d27a79f3/Modern+Mirrored+Side+Table+with+Tray+Top+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/dd847125-f21a-42dc-9d06-fdbf45ba812a/IMG_9039.JPG"
