title,sku,price,retail_price,category,sub_category,description,width,height,depth,tags,brand,designer,images
Pair Of Model 6361 Teak Speakers By Luxor Brilliant,6919270924420,1200.0,,accessories,ACCESSORIES,"Origin: Sweden. Designer: Unknown. Manufacturer: Luxor Brilliant. Era: 1960s. Materials: Teak. Measurements: 11"" wide x 11"" deep x 17.5"" tall Condition: In excellent original condition. Not function tested.",11,17.5,11,"1960s, ACCESSORIES, DA12685, Luxor Brilliant, PAIR OF MODEL 6361, SPEAKERS, Sweden, Teak",Luxor Brilliant,,"https://midcenturymobler.com/cdn/shop/products/DA12685.jpg?v=1659172777, https://midcenturymobler.com/cdn/shop/products/DA12685a.jpg?v=1659172783, https://midcenturymobler.com/cdn/shop/products/DA12685b.jpg?v=1659172784, https://midcenturymobler.com/cdn/shop/products/DA12685c.jpg?v=1659172784, https://midcenturymobler.com/cdn/shop/products/DA12685d.jpg?v=1659172784"
Pair Of Henry Kjaernulf Highback Dining Armchairs In Oak,7125806710916,2100.0,,seating,DINING ARMCHAIRS,Origin: Denmark. Designer: Henry Kjaernulf. Manufacturer: Nyrup Møbelfabrik. Era: 1960s. Materials: Oak. Measurements: Inquire for dimensions Condition: In excellent original condition with typical wear for their vintage.,,,,"1960s, 2023, ARMCHAIRS, chairs, DA13121, DANISH MODERN, Denmark, Denmark- October 2023, DINING, HENRY KJAERNULF, HIGHBACK, Nyrup Møbelfabrik, Oak, PAIR, PRE ORDER",Nyrup Møbelfabrik,Henry Kjaernulf,"https://midcenturymobler.com/cdn/shop/files/DA13121.jpg?v=1688367232, https://midcenturymobler.com/cdn/shop/files/DA13121d.jpg?v=1688367277, https://midcenturymobler.com/cdn/shop/files/DA13121c.jpg?v=1688367278, https://midcenturymobler.com/cdn/shop/files/DA13121b.jpg?v=1688367277"
Swedish Modern Bar Cabinet / Bookcase With Detailed Inlays,7125645852804,4200.0,,storage,"BARS, BOOKCASES","Origin: Sweden. Designer: Unknown. Manufacturer: Mjolby Intarsa. Era: 1940s. Materials: Mahogany, Beech. Measurements: 55.25"" wide x 14"" deep x 35"" tall.",55.25,35,14,"1940s, 2023, BAR CABINET, BARS, Beech, BOOKCASE, BOOKCASES, DA12094, DANISH MODERN, Denmark, depth:14, height:35, June2023, Mahogany, Mjolby Intarsa, NEW SHIPMENT - JUNE 2023, restored, STORAGE, Sweden, SWEDISH MODERN, width:55.25",Mjolby Intarsa,,"https://midcenturymobler.com/cdn/shop/files/DA12094.jpg?v=1688276846, https://midcenturymobler.com/cdn/shop/files/DA12094c.jpg?v=1688276852, https://midcenturymobler.com/cdn/shop/files/DA12094d.jpg?v=1688276852, https://midcenturymobler.com/cdn/shop/files/DA12094b.jpg?v=1688276851"
Tall Rosewood Credenza By Henry Rosengren Hansen,7190268543108,5500.0,,storage,CREDENZA,"Origin: DenmarkDesigner: Henry Rosengren HansenManufacturer: Brande MøbelindustriEra: 1950sMaterials: RosewoodMeasurements: 78.5"" wide x 17.75"" deep x 41.5"" tall",78.5,41.5,17.75,"1950s, Brande Møbelindustri, credenza, denmark, DENMARK - JANUARY 2024, depth:17.75, height:41.5, henry rosengren hansen, PRE-ORDER, restored, rosewood, width:78.5",,,"https://midcenturymobler.com/cdn/shop/files/DSC_0008.jpg?v=1711166838, https://midcenturymobler.com/cdn/shop/files/DSC_0018.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0019.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0027.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0033.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0036.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0042.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0045.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0049.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0052.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0057.jpg?v=1711166849, https://midcenturymobler.com/cdn/shop/files/DSC_0061.jpg?v=1711166849"
Pair Of Danish Modern Lounge Chairs In Wool + Leather,6710702112900,4600.0,,seating,seating,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Mahogany, Leather, Wool. Measurements: 28"" wide x 27"" deep x 30"" tall Seat Height: 16.5""",28,30,27,"chair, chairs, danish modern, lounge, pair, restore, restored, upholstery",,,"https://midcenturymobler.com/cdn/shop/products/DA12034.jpg?v=1642630209, https://midcenturymobler.com/cdn/shop/products/DA12034b.jpg?v=1642630209, https://midcenturymobler.com/cdn/shop/products/download.png?v=1642630209"
Set Of Eight Rosewood Dining Chairs By Kai Kristiansen For Magnus Olesen,7125838790788,11200.0,,seating,DINING CHAIRS,"Origin: Denmark. Designer: Kai Kristiansen. Manufacturer: Magnus Olesen. Era: 1960s. Materials: Rosewood, Leather. Measurements: 20.75"" wide x 19.75"" deep x 29″ tall",20.75,29,19.75,"1960s, 2023, CHAIRS, DA13142, DANISH MODERN, Denmark, Denmark- October 2023, DINING CHAIRS, Domus Danica, height:29, kai kristiansen, MAGNUS OLESEN, PRE ORDER, restore, restored, ROSEWOOD, SET OF EIGHT, upholstery",Magnus Olesen,Kai Kristiansen,"https://midcenturymobler.com/cdn/shop/files/DA13142.jpg?v=1688379305, https://midcenturymobler.com/cdn/shop/files/DA13142f.jpg?v=1688379315, https://midcenturymobler.com/cdn/shop/files/DA13142h.jpg?v=1688379317, https://midcenturymobler.com/cdn/shop/files/DA13142i.jpg?v=1688379316, https://midcenturymobler.com/cdn/shop/files/DA13142d.jpg?v=1688379315, https://midcenturymobler.com/cdn/shop/files/DA13142g.jpg?v=1688379316, https://midcenturymobler.com/cdn/shop/files/DA13142b.jpg?v=1688379315, https://midcenturymobler.com/cdn/shop/files/DA13142c.jpg?v=1688379317, https://midcenturymobler.com/cdn/shop/files/DA13142e.jpg?v=1688379316"
Wingback Cantilevered Lounge Chair By Gustav Axel Berg,6710735339652,2485.0,3100.0,seating,Chairs,"Origin: Sweden. Designer: Gustav Axel Berg. Manufacturer: Unknown. Era: 1960s. Materials: Teak. Measurements: 27.5"" wide x 30"" deep x 44"" tall Condition: Newly upholstered in jade green leather. In excellent original condition.",27.5,44,30,"1960s, 2022, CANTILEVERED LOUNGE CHAIR, chair, denmark, depth:30, GUSTAV AXEL, GUSTAV AXEL BERG, height:44, lounge, lounge chair, sale, sweden, teak, width:27.5, WINGBACK CANTILEVERED LOUNGE CHAIR",,Gustav Axel Berg,"https://midcenturymobler.com/cdn/shop/files/DSC_3352_52a502da-48ec-4d8d-8bfe-eb9917b41db2.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3340_b4e187c2-24e4-4c8d-8f4d-ddb6b100d1ba.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3341_94a88743-a8c8-4ad7-a901-d3d4eb712cde.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3345_aed646b9-2fe5-4ceb-9483-524841208033.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3347_72d75279-09ba-488e-8594-9bca60926991.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3349.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3355.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3357_d932920d-390c-46bc-b672-1316782bc266.jpg?v=1692077948, https://midcenturymobler.com/cdn/shop/files/DSC_3367_f0c0af05-997c-41d1-8bb2-4dca349edbfc.jpg?v=1692077948"
Arne Vodder Teak Tambour Credenza,7206896074884,6500.0,,storage,CREDENZA,"Origin: DenmarkDesigner: Arne VodderManufacturer: SibastEra: 1960sMaterials: TeakMeasurements: 72"" wide x 19.5"" deep x 30"" tall",72,30,19.5,"1960s, arne vodder, credenza, denmark, depth19.5, ENGLAND - JANUARY 2024, height:30, PRE-ORDER, restored, sibast, teak, width:72",,,"https://midcenturymobler.com/cdn/shop/files/DSC_7543.png?v=1709176475, https://midcenturymobler.com/cdn/shop/files/DSC_7547.png?v=1709176475, https://midcenturymobler.com/cdn/shop/files/DSC_7578.png?v=1709176475, https://midcenturymobler.com/cdn/shop/files/DSC_7543copy2.png?v=1709176475, https://midcenturymobler.com/cdn/shop/files/DSC_7552.png?v=1709176474, https://midcenturymobler.com/cdn/shop/files/DSC_7564.png?v=1709176474"
Desede Ds-44 Loveseat In Patinated Leather,7267517825156,4200.0,,seating,LOVESEAT,". Origin: Switzerland. Designer: DeSede. Manufacturer: DeSede. Era: 1960s. Materials: Buffalo Leather. Measurements: 54"" wide x 33.5"" deep x 27.5"" tall",54,27.5,33.5,"1960s, BUFFALO LEATHER, DE SEDE DS44 LOVESEAT, DENMARK - JUNE 2024, depth:33.5, DESEDE, DS-44, height:29, loveseat, new, PATINATED LEATHER, PRE-ORDER, Switzerland, width:53",DeSede,DeSede,"https://midcenturymobler.com/cdn/shop/files/DA13308.jpg?v=1716178031, https://midcenturymobler.com/cdn/shop/files/DA13308a.jpg?v=1716178031, https://midcenturymobler.com/cdn/shop/files/DA13308aa.jpg?v=1716178031, https://midcenturymobler.com/cdn/shop/files/DA13308b.jpg?v=1716178031, https://midcenturymobler.com/cdn/shop/files/DA13308c.jpg?v=1716178031"
1950S Swedish Floor Lamp With Built In Side Table,6710746677380,1675.0,,lighting,Cabinets & Storage,"Origin: Sweden. Designer: Unknown. Manufacturer: Unknown. Era: 1950s. Materials: Teak, Metal, Glass. Measurements: 21.5"" wide x 13"" deep x 58″ tall Condition: In excellent original condition.",21.5,58,13,"1950s, floor lamp, glass, height:51, lamp, metal, side table, sweden, swedish, SWEDISH MODERN, table, teak",,,"https://midcenturymobler.com/cdn/shop/products/DA12461.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461h.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461c.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461b.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461f.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461g.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461d.jpg?v=1642635584, https://midcenturymobler.com/cdn/shop/products/DA12461e.jpg?v=1642635584"
Swedish Modern Bar Cabinet By Arne Wahl Iversen,7078029459588,1800.0,,storage,BENCHES,Origin: Sweden. Designer: Arne Wahl Iversen. Manufacturer: IKEA. Era: 1959. Materials: Teak. Measurements: 25.5″ wide x 14″ deep x 23.75″ tall,25.5,23.75,14,"1959, 2023, Arne Wahl Iversen, BAR CABINET, DA13005, DENMARK, depth:14, height:23.75, IKEA, June2023, May 2023, PRE ORDER, restored, Sweden, SWEDISH, SWEDISH MODERN, Teak, width:25.5",IKEA,Arne Wahl Iversen,"https://midcenturymobler.com/cdn/shop/products/DA13005.jpg?v=1678365977, https://midcenturymobler.com/cdn/shop/products/DA13005j.jpg?v=1678365996, https://midcenturymobler.com/cdn/shop/products/DA13005f.jpg?v=1678365996, https://midcenturymobler.com/cdn/shop/products/DA13005e.jpg?v=1678365996, https://midcenturymobler.com/cdn/shop/products/DA13005g.jpg?v=1678365995, https://midcenturymobler.com/cdn/shop/products/DA13005d.jpg?v=1678365996, https://midcenturymobler.com/cdn/shop/products/DA13005b.jpg?v=1678365997, https://midcenturymobler.com/cdn/shop/products/DA13005c.jpg?v=1678365995, https://midcenturymobler.com/cdn/shop/products/DA13005h.jpg?v=1678365995, https://midcenturymobler.com/cdn/shop/products/DA13005i.jpg?v=1678365995"
Space Age Ufo Floor Lamp By Fog + Morup #2,6710714597508,2200.0,,lighting,lighting,"Origin: Denmark. Designer: Unknown. Manufacturer: Fog + Morup. Era: 1960s. Materials: Steel, Plastic. Measurements: 20.5″ diameter x 51.5″ tall Condition: In excellent original condition.",,51.5,,"1960s, AGE, denmark, diameter, diameter:20.5, floor, fog, FOG + MORUP, height:51.5, lamp, model, modern, morup, October 2021, plastic, PRE-ORDER, SPACE, space age, SPACE AGE UFO FLOOR LAMP, steel, ufo, UFO FLOOR",Fog + Morup,,https://midcenturymobler.com/cdn/shop/products/DA12201.jpg?v=1642632029
1950S Black And White Tripod Floor Lamp,6710755197060,1725.0,,lighting,Lamps,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1950s. Materials: Steel. Measurements: 10"" diameter x 36.5″ tall Condition: In excellent original condition.",10,36.5,10,"1950s, denmark, depth:10, floor lamp, height:36.5, lamp, steel, TRIPOD FLOOR LAMP, width:10",,,"https://midcenturymobler.com/cdn/shop/products/DA12530.jpg?v=1642636371, https://midcenturymobler.com/cdn/shop/products/DA12530b.jpg?v=1642636371, https://midcenturymobler.com/cdn/shop/products/DA12530c.jpg?v=1642636371, https://midcenturymobler.com/cdn/shop/products/DA12530a.jpg?v=1642636371"
Kurt Olsen For A. Andersen + Bohm Loveseat In Oak,6710096003204,5800.0,,seating,seating,Origin: Denmark. Designer: Kurt Olsen. Manufacturer: A. Andersen + Bohm. Era: 1950s. Dimensions: 52″ wide x 27″ deep x 31″ tall. Seat: 46″ wide x 19″ deep x 17.5″ tall.,52,31,27,"A. Andersen + Bohm, depth:27, height :31, kurt olsen, loveseat, oak, restore, restored, upholstery, width:52",A. Andersen + Bohm,Kurt Olsen,"https://midcenturymobler.com/cdn/shop/products/kurtolsen.jpg?v=1642593031, https://midcenturymobler.com/cdn/shop/products/DSC_2235_2f86bc0a-0f1b-4488-8e42-967888a2646b.jpg?v=1642593031, https://midcenturymobler.com/cdn/shop/products/DSC_2239_44e92ee8-5e78-4097-b164-82d4bca95a15.jpg?v=1642593031, https://midcenturymobler.com/cdn/shop/products/DSC_2241.jpg?v=1642593031, https://midcenturymobler.com/cdn/shop/products/DSC_2243_777cd3ea-e399-4cf0-8cdb-586535580e0c.jpg?v=1642593031"
Teak + Oak Gentlemans Chest By Carl Aage Skov,7275055579268,1725.0,,storage,DRESSER,"Origin: Denmark. Designer: Carl Aage Skov. Manufacturer: Munch Møbler. Era: 1960s. Materials: Teak, Oak. Measurements: 31"" wide x 16.5"" deep x 29"" tall",31,29,16.5,"carl aage skov, dresser, Dressers, munch mobler, new, nightstand, oak, restored, teak, TEAK HIGHBOY DRESSER",Munch Møbler,Carl Aage Skov,"https://midcenturymobler.com/cdn/shop/files/DSC_2807.jpg?v=1718863049, https://midcenturymobler.com/cdn/shop/files/DSC_2809.jpg?v=1718863049, https://midcenturymobler.com/cdn/shop/files/DSC_2811.jpg?v=1718863049, https://midcenturymobler.com/cdn/shop/files/DSC_2814.jpg?v=1718863049, https://midcenturymobler.com/cdn/shop/files/DSC_2817.jpg?v=1718863049"
Four Drawer Full Profile Gentlemans Chest In Brazilian Rosewood,7267206692996,1750.0,,storage,DRESSER,". Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Rosewood. Measurements: 25.5"" wide x 15.5"" deep x 31"" tall",25.5,31,15.5,"1960s, BRAZILIAN ROSEWOOD, denmark, depth:15.5, four drawer, FULL PROFILE, GENTLEMANS CHEST, height:31, new, restore, restored, rosewood, width:25.5",,,"https://midcenturymobler.com/cdn/shop/files/DSC_5715.jpg?v=1730303741, https://midcenturymobler.com/cdn/shop/files/DSC_5721.jpg?v=1730303741, https://midcenturymobler.com/cdn/shop/files/DSC_5728.jpg?v=1730303741, https://midcenturymobler.com/cdn/shop/files/DSC_5732.jpg?v=1730303741, https://midcenturymobler.com/cdn/shop/files/DSC_5735.jpg?v=1730303741, https://midcenturymobler.com/cdn/shop/files/DSC_5743.jpg?v=1730303741, https://midcenturymobler.com/cdn/shop/files/DSC_5746.jpg?v=1730303741"
Square Tue Poulsen Ceramic Art Tile Coffee Table In Rosewood,7282434048132,2865.0,,tables,COFFEE TABLE,"Origin: Denmark. Designer: Tue Poulsen. Manufacturer: Unknown. Era: 1960s. Materials: Rosewood, Tile. Measurements: 41.25"" wide x 41.25"" deep x 20"" tall.",41.25,20,41.25,"1960s, denmark, DENMARK - DECEMBER 2024, depth:41.25, height:20, restore, restored, rosewood, tile, Tue Poulsen, width:41.25",,Tue Poulsen,"https://midcenturymobler.com/cdn/shop/files/DA13352.jpg?v=1720779108, https://midcenturymobler.com/cdn/shop/files/DA13352e.jpg?v=1720779109, https://midcenturymobler.com/cdn/shop/files/DA13352d.jpg?v=1720779108, https://midcenturymobler.com/cdn/shop/files/DA13352c.jpg?v=1720779109, https://midcenturymobler.com/cdn/shop/files/DA13352b.jpg?v=1720779108"
